"","Ecosystem_type_broad","Ecosystem_type_specific","n"
"1","croplands","agroenergy crops",9
"2","croplands","banana plantations",2
"3","croplands","black mustard (Brassica nigra) monoculture",2
"4","croplands","cereal croplands",1
"5","croplands","cereal fields",9
"6","croplands","cereals crop fields",2
"7","croplands","commercial potato farms",1
"8","croplands","commercial potato fields",1
"9","croplands","conventional spring barley fields",2
"10","croplands","corn rotation croplands",7
"11","croplands","cotton agrolandscapes",5
"12","croplands","cotton fields",2
"13","croplands","crop fields",4
"14","croplands","faba bean field",4
"15","croplands","fields cultivated with winter cereal, oilseed rape or hays",2
"16","croplands","maize",4
"17","croplands","maize-wheat rotation",3
"18","croplands","maize (Zea mays L.) and soybean (Glycine max Merr.) rotation system with residue return",3
"19","croplands","Maize (Zea mays L.) croplands",3
"20","croplands","maize field",2
"21","croplands","maize, rice fields",4
"22","croplands","monoculture crops ( alfalfa vs soybean)",2
"23","croplands","organic vegetable production farms",1
"24","croplands","pigeon pea fields",2
"25","croplands","rice croplands",1
"26","croplands","tropical lowland rice fields",1
"27","croplands","tropical rice agroecosystems",8
"28","croplands","vegetable fields",1
"29","croplands","vineyards",3
"30","croplands","wheat-maize, cash crops (watermelon etc) crop fields",2
"31","croplands","wheat felds",6
"32","croplands","wildflower corridors in croplands of wheat and maize",1
"33","croplands","winter wheat fields",2
"34","grasslands","alpine grassland",4
"35","grasslands","alpine grasslands",1
"36","grasslands","alpine grasslands (summer grazing pastures)",1
"37","grasslands","desert steppe",2
"38","grasslands","dry grasslands",4
"39","grasslands","grassland",1
"40","grasslands","grasslands",9
"41","grasslands","grasslands with long-term grazing exclusion",1
"42","grasslands","herder's pasture",3
"43","grasslands","meadow steppe",2
"44","grasslands","meadow, mown pasture, and pasture",1
"45","grasslands","Mediterranean grasslands",1
"46","grasslands","mountain forest steppe",2
"47","grasslands","mountain grasslands",2
"48","grasslands","natural grassland (afforestation)",4
"49","grasslands","prairie grasslands",6
"50","grasslands","semi-arid grassland with alkaline soils",1
"51","grasslands","semi-arid grasslands during their secondary succession",4
"52","grasslands","semi-arid Inner Mongolian steppe",2
"53","grasslands","semi-arid Inner Mongolian steppe grassland",5
"54","grasslands","semi-arid steppe",1
"55","grasslands","semi-dry and semi-wet oligo- to mesotrophic grasslands",4
"56","grasslands","semiarid temperate steppe",3
"57","grasslands","tallgrass prairies restored on abandoned agricultural land via seed sowing",6
"58","grasslands","temperate grasslands",3
"59","grasslands","temperate steppe",7
"60","grasslands","temporal grasslans",3
"61","croplands, grasslands","Cerrado savannas: croplands (monoculture commercial plantation of soybean, maize, or sorghum) vs  non-crop habitats (remnants of natural Cerrado vegetation (open savanna with scattered trees and a grassy understory; or dense woodland savanna dominated by trees and almost no grasses).",2
"62","croplands, grasslands","croplands, grasslands",6
"63","croplands, grasslands","mixed farms, with arable crops, pasture and livestock",3
"64","forests","mature forest, secondary forest, areca forest, monocultural rubber plantation, and rubber plantation intercropped with Alpinia oxyphylla",6
"65","tree plantations","ash plantations (Fraxinus excelsior)",2
"66","tree plantations","forest farm",2
"67","tree plantations","mango orchard",2
"68","tree plantations","Pinus massoniana Lamb. plantations",1
"69","tree plantations","shaded coffee plantations",2
"70","tree plantations","subtropical tree plantations",4
"71","tree plantations","tea plantation",2
"72","forests, tree plantations","rainforest, rubber plantations, oil palm",5
"73","","",121
